================================================================================
EVENTS FROM 53800ms to 55500ms (profile data window)
================================================================================
       53802ms    pushstr | __metatable
       53829ms    pushstr | table
       53829ms    pushstr | __metatable
       53829ms    pushstr | nil
       53829ms    pushstr | function
       53829ms     tolstr | hideAllUI/Button3
       53829ms    pushstr | __metatable
       53829ms    pushstr | nil
       53829ms    pushstr | nil
       53829ms    pushstr | table
       53830ms    pushstr | __metatable
       53830ms    pushstr | nil
       53830ms    pushstr | nil
       53830ms    pushstr | table
       53830ms    pushstr | __metatable
       53830ms    pushstr | function
       53830ms    pushstr | __fullname
       53830ms    pushstr | __type
       53830ms    pushint | 0
       53830ms    pushint | 1
       53830ms    pushstr | __metatable
       53830ms    pushstr | function
       53830ms   getfield | eng.table
       53830ms    pushstr | Button
       53830ms   getfield | eng.table
       53830ms    pushstr | Button
       53830ms    pushstr | __metatable
       53830ms    pushstr | table
       53830ms    pushstr | __metatable
       53830ms    pushstr | nil
       53830ms    pushstr | function
       53830ms    pushstr | __LuaDelegate
       53831ms        gfn | UnityEngine.UI.Button+ButtonClickedEvent, UnityEngine.UI, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null:74687
       53831ms  tointeger | 1
       53831ms    pushint | 2
       53831ms    pushstr | __metatable
       53831ms    pushstr | table
       53831ms    pushstr | __metatable
       53831ms    pushstr | nil
       53831ms    pushstr | function
       53831ms     tolstr | BottomPart/FunctionArea/PlayerInfoFunction1/btn_Function
       53831ms    pushstr | __metatable
       53831ms    pushstr | nil
       53831ms    pushstr | nil
       53831ms    pushstr | table
       53831ms    pushstr | __metatable
       53831ms    pushstr | nil
       53831ms    pushstr | nil
       53831ms    pushstr | table
       53833ms    pushstr | __metatable
       53833ms    pushstr | function
       53833ms    pushstr | __fullname
       53833ms    pushstr | __type
       53833ms    pushint | 0
       53833ms    pushint | 1
       53833ms    pushstr | __metatable
       53833ms    pushstr | function
       53833ms   getfield | eng.table
       53833ms    pushstr | Button
       53833ms   getfield | eng.table
       53833ms    pushstr | Button
       53833ms    pushstr | __metatable
       53833ms    pushstr | table
       53834ms    pushstr | __metatable
       53834ms    pushstr | nil
       53834ms    pushstr | function
       53834ms    pushstr | __LuaDelegate
       53834ms        gfn | eng.table:81749
       53834ms  tointeger | 1
       53834ms    pushint | 2
       53834ms    pushstr | __metatable
       53834ms    pushstr | table
       53834ms    pushstr | __metatable
       53834ms    pushstr | nil
       53834ms    pushstr | function
       53834ms     tolstr | TopPart/Others_New/TxtDetail/btn_CopyName
       53834ms    pushstr | __metatable
       53834ms    pushstr | nil
       53834ms    pushstr | nil
       53834ms    pushstr | table
       53834ms    pushstr | __metatable
       53834ms    pushstr | nil
       53834ms    pushstr | nil
       53834ms    pushstr | table
       53834ms    pushstr | __metatable
       53834ms    pushstr | function
       53834ms    pushstr | __fullname
       53834ms    pushstr | __type
       53835ms    pushstr | __metatable
       53835ms    pushstr | function
       53835ms   getfield | eng.table
       53835ms    pushstr | Button
       53835ms   getfield | eng.table
       53835ms    pushstr | Button
       53835ms    pushstr | __metatable
       53835ms    pushstr | table
       53835ms    pushstr | __metatable
       53835ms    pushstr | nil
       53835ms    pushstr | function
       53835ms    pushstr | __LuaDelegate
       53835ms        gfn | eng.table:81085
       53835ms    pushstr | __metatable
       53835ms    pushstr | table
       53835ms    pushstr | __metatable
       53835ms    pushstr | nil
       53835ms    pushstr | function
       53835ms     tolstr | BottomPart/FunctionArea/PlayerInfoFunction1/txt_FunctionName
       53835ms    pushstr | __metatable
       53835ms    pushstr | nil
       53835ms    pushstr | nil
       53835ms    pushstr | table
       53835ms    pushstr | __metatable
       53835ms    pushstr | nil
       53835ms    pushstr | nil
       53835ms    pushstr | table
       53836ms    pushstr | __metatable
       53836ms    pushstr | function
       53836ms    pushstr | __fullname
       53836ms    pushstr | __type
       53836ms    pushstr | __metatable
       53836ms    pushstr | function
       53836ms        gfs | UnityEngine.UI.Text, UnityEngine.UI, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null:LC_COMMON_MORE_INFO
       53836ms     tolstr | LC_COMMON_MORE_INFO
       53836ms    pushstr | Mais Informaþ§es
       53836ms    pushstr | __metatable
       53836ms    pushstr | function
       53836ms     tolstr | Mais Informaþ§es
       53836ms    pushstr | Mais Informaþ§es
       53836ms    pushstr | __metatable
       53836ms     tolstr | Mais Informaþ§es
       53837ms    pushstr | __metatable
       53837ms    pushstr | table
       53837ms    pushstr | __metatable
       53837ms    pushstr | nil
       53837ms    pushstr | function
       53837ms     tolstr | TopPart/AchievementsPower/EnergyProgress/btn_info
       53837ms    pushstr | __metatable
       53837ms    pushstr | nil
       53837ms    pushstr | nil
       53837ms    pushstr | table
       53837ms    pushstr | __metatable
       53837ms    pushstr | nil
       53837ms    pushstr | nil
       53837ms    pushstr | table
       53837ms    pushstr | __metatable
       53837ms    pushstr | function
       53837ms    pushstr | __fullname
       53837ms    pushstr | __type
       53870ms    pushstr | __metatable
       53870ms    pushstr | function
       53870ms   getfield | eng.table
       53870ms    pushstr | Button
       53870ms   getfield | eng.table
       53870ms    pushstr | Button
       53870ms    pushstr | __metatable
       53870ms    pushstr | table
       53870ms    pushstr | __metatable
       53870ms    pushstr | nil
       53871ms    pushstr | function
       53871ms    pushstr | __LuaDelegate
       53871ms        gfn | UnityEngine.UI.Button+ButtonClickedEvent, UnityEngine.UI, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null:86352
       53871ms    pushint | 0
       53871ms    pushint | 1
       53871ms    pushstr | __metatable
       53871ms    pushstr | function
       53871ms   getfield | eng.table
       53871ms    pushstr | Button
       53871ms   getfield | eng.table
       53871ms    pushstr | Button
       53871ms    pushstr | __metatable
       53871ms    pushstr | table
       53871ms    pushstr | __metatable
       53871ms    pushstr | nil
       53871ms    pushstr | function
       53871ms    pushstr | __LuaDelegate
       53871ms        gfn | eng.table:81258
       53871ms  tointeger | 1
       53871ms    pushint | 2
       53871ms    pushstr | __metatable
       53871ms    pushstr | table
       53871ms    pushstr | __metatable
       53871ms    pushstr | nil
       53871ms    pushstr | function
       53872ms     tolstr | TopPart/Myself_New/TxtDetail/txt_Tittle4
       53872ms    pushstr | __metatable
       53872ms    pushstr | nil
       53872ms    pushstr | nil
       53872ms    pushstr | table
       53873ms    pushstr | __metatable
       53873ms    pushstr | nil
       53873ms    pushstr | nil
       53873ms    pushstr | table
       53873ms    pushstr | __metatable
       53873ms    pushstr | function
       53873ms    pushstr | __fullname
       53873ms    pushstr | __type
       53873ms    pushstr | __metatable
       53873ms    pushstr | function
       53873ms        gfs | UnityEngine.UI.Text, UnityEngine.UI, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null:LC_COMMON_KILL_SCORE
       53873ms     tolstr | LC_COMMON_KILL_SCORE
       53873ms    pushstr | __metatable
       53874ms    pushstr | function
       53874ms     tolstr | Pontos de Abate
       53874ms    pushstr | Pontos de Abate
       53874ms    pushstr | __metatable
       53874ms     tolstr | Pontos de Abate
       53874ms    pushstr | __metatable
       53874ms    pushstr | table
       53874ms    pushstr | __metatable
       53874ms    pushstr | nil
       53874ms    pushstr | function
       53874ms     tolstr | TopPart/Others_Old/btn_KillInfo
       53874ms    pushstr | __metatable
       53874ms    pushstr | nil
       53874ms    pushstr | nil
       53875ms    pushstr | table
       53875ms    pushstr | __metatable
       53875ms    pushstr | nil
       53875ms    pushstr | nil
       53875ms    pushstr | table
       53875ms    pushstr | __metatable
       53875ms    pushstr | function
       53875ms    pushstr | __fullname
       53875ms    pushstr | __type
       53875ms    pushstr | __metatable
       53875ms    pushstr | function
       53875ms   getfield | eng.table
       53875ms    pushstr | Button
       53875ms   getfield | eng.table
       53875ms    pushstr | Button
       53875ms    pushstr | __metatable
       53875ms    pushstr | table
       53875ms    pushstr | __metatable
       53875ms    pushstr | nil
       53875ms    pushstr | function
       53875ms    pushstr | __LuaDelegate
       53875ms        gfn | eng.table:85870
       53875ms    pushint | 0
       53875ms    pushint | 1
       53876ms    pushstr | __metatable
       53876ms    pushstr | function
       53876ms   getfield | eng.table
       53876ms    pushstr | Button
       53876ms   getfield | eng.table
       53876ms    pushstr | Button
       53876ms    pushstr | __metatable
       53876ms    pushstr | table
       53876ms    pushstr | __metatable
       53876ms    pushstr | nil
       53876ms    pushstr | function
       53876ms    pushstr | __LuaDelegate
       53876ms        gfn | eng.table:86743
       53876ms  tointeger | 1
       53876ms    pushint | 2
       53876ms    pushstr | __metatable
       53876ms    pushstr | table
       53876ms    pushstr | __metatable
       53876ms    pushstr | nil
       53876ms    pushstr | function
       53877ms     tolstr | hideAllUI/Button1
       53877ms    pushstr | __metatable
       53877ms    pushstr | nil
       53877ms    pushstr | nil
       53877ms    pushstr | table
       53880ms    pushstr | __metatable
       53880ms    pushstr | nil
       53880ms    pushstr | nil
       53880ms    pushstr | table
       53880ms    pushstr | __metatable
       53880ms    pushstr | function
       53880ms    pushstr | __fullname
       53881ms    pushstr | __type
       53881ms    pushint | 0
       53881ms    pushint | 1
       53881ms    pushstr | __metatable
       53881ms    pushstr | function
       53881ms   getfield | eng.table
       53881ms    pushstr | Button
       53881ms   getfield | eng.table
       53881ms    pushstr | Button
       53882ms    pushstr | __metatable
       53883ms    pushstr | table
       53886ms    pushstr | __metatable
       53886ms    pushstr | nil
       53886ms    pushstr | function
       53886ms    pushstr | __LuaDelegate
       53886ms        gfn | UnityEngine.UI.Button+ButtonClickedEvent, UnityEngine.UI, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null:75774
       53886ms  tointeger | 1
       53886ms    pushint | 2
       53886ms    pushstr | __metatable
       53886ms    pushstr | table
       53886ms    pushstr | __metatable
       53886ms    pushstr | nil
       53886ms    pushstr | function
       53886ms     tolstr | TopPart/Others_Old/btn_CopyName/GameObject/btn_more/morePopUp/btn_BlueM2/text_SendMail
       53886ms    pushstr | __metatable
       53886ms    pushstr | nil
       53886ms    pushstr | nil
       53886ms    pushstr | table
       53887ms    pushstr | __metatable
       53887ms    pushstr | nil
       53887ms    pushstr | nil
       53887ms    pushstr | table
       53887ms    pushstr | __metatable
       53887ms    pushstr | function
       53887ms    pushstr | __fullname
       53887ms    pushstr | __type
       53887ms    pushstr | __metatable
       53887ms    pushstr | function
       53887ms        gfs | UnityEngine.UI.Text, UnityEngine.UI, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null:LC_CHAPTER_PLAYER_OPTIONS_2_COPYNAME
       53887ms     tolstr | LC_CHAPTER_PLAYER_OPTIONS_2_COPYNAME
       53887ms    pushstr | 1
       53887ms    pushstr | __metatable
       53887ms     tolstr | 1
       53887ms    pushstr | __metatable
       53887ms    pushstr | table
       53887ms    pushstr | __metatable
       53887ms    pushstr | nil
       53887ms    pushstr | function
       53887ms     tolstr | TopPart/Others_Old/btn_CopyName/GameObject/btn_more/morePopUp/btn_BlueM1/text_SendMail
       53888ms    pushstr | __metatable
       53888ms    pushstr | nil
       53888ms    pushstr | nil
       53888ms    pushstr | table
       53888ms    pushstr | __metatable
       53888ms    pushstr | nil
       53888ms    pushstr | nil
       53888ms    pushstr | table
       53888ms    pushstr | __metatable
       53888ms    pushstr | function
       53888ms    pushstr | __fullname
       53888ms    pushstr | __type
       53888ms    pushstr | __metatable
       53888ms    pushstr | function
       53889ms        gfs | UnityEngine.UI.Text, UnityEngine.UI, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null:LC_CHAPTER_PLAYER_OPTIONS_1_REPORT
       53889ms     tolstr | LC_CHAPTER_PLAYER_OPTIONS_1_REPORT
       53889ms    pushstr | Relat¾rio
       53889ms    pushstr | __metatable
       53889ms     tolstr | Relat¾rio
       53889ms    pushstr | __metatable
       53889ms    pushstr | table
       53889ms    pushstr | __metatable
       53889ms    pushstr | nil
       53889ms    pushstr | function
       53889ms     tolstr | TopPart/Myself_Old/TxtDetail/txt_Tittle3
       53890ms    pushstr | __metatable
       53890ms    pushstr | nil
       53890ms    pushstr | nil
       53890ms    pushstr | table
       53891ms    pushstr | __metatable
       53891ms    pushstr | nil
       53891ms    pushstr | nil
       53891ms    pushstr | table
       53891ms    pushstr | __metatable
       53891ms    pushstr | function
       53891ms    pushstr | __fullname
       53891ms    pushstr | __type
       53891ms    pushstr | __metatable
       53891ms    pushstr | function
       53891ms        gfs | UnityEngine.UI.Text, UnityEngine.UI, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null:LC_COMMON_ALLIANCE
       53891ms     tolstr | LC_COMMON_ALLIANCE
       53891ms    pushstr | __metatable
       53891ms     tolstr | Alianþa
       53892ms    pushstr | __metatable
       53892ms    pushstr | table
       53892ms    pushstr | __metatable
       53892ms    pushstr | nil
       53892ms    pushstr | function
       53892ms     tolstr | TopPart/Myself_Old/TxtDetail/txt_Tittle4
       53897ms    pushstr | __metatable
       53897ms    pushstr | nil
       53897ms    pushstr | nil
       53897ms    pushstr | table
       53897ms    pushstr | __metatable
       53897ms    pushstr | nil
       53897ms    pushstr | nil
       53933ms    pushstr | table
       53933ms    pushstr | __metatable
       53933ms    pushstr | function
       53933ms    pushstr | __fullname
       53933ms    pushstr | __type
       53934ms    pushstr | __metatable
       53934ms    pushstr | function
       53934ms        gfs | UnityEngine.UI.Text, UnityEngine.UI, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null:LC_COMMON_KILL_SCORE
       53934ms     tolstr | LC_COMMON_KILL_SCORE
       53934ms    pushstr | __metatable
       53934ms     tolstr | Pontos de Abate
       53934ms    pushstr | __metatable
       53934ms    pushstr | table
       53934ms    pushstr | __metatable
       53934ms    pushstr | nil
       53934ms    pushstr | function
       53934ms     tolstr | TopPart/Myself_New/TxtDetail/txt_Civi/txt_Civi/btn_Change
       53934ms    pushstr | __metatable
       53935ms    pushstr | nil
       53935ms    pushstr | nil
       53935ms    pushstr | table
       53935ms    pushstr | __metatable
       53935ms    pushstr | nil
       53935ms    pushstr | nil
       53935ms    pushstr | table
       53935ms    pushstr | __metatable
       53935ms    pushstr | function
       53935ms    pushstr | __fullname
       53935ms    pushstr | __type
       53935ms    pushstr | __metatable
       53935ms    pushstr | function
       53936ms   getfield | eng.table
       53936ms    pushstr | Button
       53937ms   getfield | eng.table
       53937ms    pushstr | Button
       53937ms    pushstr | __metatable
       53937ms    pushstr | table
       53937ms    pushstr | __metatable
       53937ms    pushstr | nil
       53937ms    pushstr | function
       53937ms    pushstr | __LuaDelegate
       53937ms        gfn | eng.table:87242
       53937ms    pushint | 0
       53937ms    pushint | 1
       53938ms    pushstr | __metatable
       53938ms    pushstr | function
       53938ms   getfield | eng.table
       53938ms    pushstr | Button
       53938ms   getfield | eng.table
       53938ms    pushstr | Button
       53938ms    pushstr | __metatable
